female,age,equation,p10,p25,p50,p75,p90
0,91,ckd_epi_2009,32,42,55,69,76
0,91,ckd_epi_2021,35,46,60,75,83
0,91,ekfc,29,38,48,60,66
0,91,lund_malmo,27,37,47,56,62
0,92,ckd_epi_2009,31,41,54,67,76
0,92,ckd_epi_2021,34,45,58,73,82
0,92,ekfc,28,37,47,59,66
0,92,lund_malmo,26,36,46,54,62
0,93,ckd_epi_2009,31,40,52,66,75
0,93,ckd_epi_2021,34,44,57,72,82
0,93,ekfc,28,36,46,57,64
0,93,lund_malmo,26,35,45,53,60
0,94,ckd_epi_2009,30,39,51,64,74
0,94,ckd_epi_2021,33,43,56,71,81
0,94,ekfc,27,35,45,56,64
0,94,lund_malmo,25,34,44,52,59
0,95,ckd_epi_2009,30,38,50,65,74
0,95,ckd_epi_2021,33,42,55,71,80
0,95,ekfc,27,34,44,56,63
0,95,lund_malmo,24,33,43,52,59
0,96,ckd_epi_2009,28,38,50,63,73
0,96,ckd_epi_2021,31,42,55,70,80
0,96,ekfc,26,34,44,55,62
0,96,lund_malmo,23,32,42,51,58
0,97,ckd_epi_2009,29,38,49,62,73
0,97,ckd_epi_2021,32,42,54,68,79
0,97,ekfc,26,34,43,54,62
0,97,lund_malmo,24,32,42,50,58
0,98,ckd_epi_2009,28,36,48,61,72
0,98,ckd_epi_2021,31,40,53,67,79
0,98,ekfc,25,32,42,52,61
0,98,lund_malmo,22,30,40,49,57
0,99,ckd_epi_2009,26,36,48,61,71
0,99,ckd_epi_2021,29,40,53,68,78
0,99,ekfc,24,32,42,53,60
0,99,lund_malmo,20,30,40,49,55
0,100,ckd_epi_2009,24,34,45,58,70
0,100,ckd_epi_2021,27,37,50,64,77
0,100,ekfc,22,30,39,50,59
0,100,lund_malmo,19,28,38,46,53
1,40,ckd_epi_2009,84,94,106,112,116
1,40,ckd_epi_2021,88,98,110,115,118
1,40,ekfc,85,94,105,111,115
1,40,lund_malmo,80,86,94,102,109
1,41,ckd_epi_2009,82,93,105,111,115
1,41,ckd_epi_2021,86,96,109,114,117
1,41,ekfc,83,93,104,110,114
1,41,lund_malmo,78,85,93,101,109
1,42,ckd_epi_2009,82,92,104,110,114
1,42,ckd_epi_2021,85,96,109,113,117
1,42,ekfc,82,92,103,109,113
1,42,lund_malmo,78,85,92,101,108
1,43,ckd_epi_2009,81,91,104,109,113
1,43,ckd_epi_2021,85,95,108,113,116
1,43,ekfc,81,91,102,108,112
1,43,lund_malmo,78,84,92,100,108
1,44,ckd_epi_2009,80,91,102,108,112
1,44,ckd_epi_2021,84,94,106,112,115
1,44,ekfc,80,90,100,106,110
1,44,lund_malmo,76,84,91,99,107
1,45,ckd_epi_2009,79,89,100,107,112
1,45,ckd_epi_2021,82,93,105,111,114
1,45,ekfc,79,88,98,105,109
1,45,lund_malmo,76,83,91,98,106
1,46,ckd_epi_2009,78,88,100,106,111
1,46,ckd_epi_2021,82,92,104,110,114
1,46,ekfc,78,87,98,104,108
1,46,lund_malmo,75,82,90,98,105
1,47,ckd_epi_2009,78,87,99,106,110
1,47,ckd_epi_2021,81,91,103,110,112
1,47,ekfc,77,86,96,103,107
1,47,lund_malmo,75,81,89,96,104
1,48,ckd_epi_2009,77,87,98,105,109
1,48,ckd_epi_2021,81,91,103,109,112
1,48,ekfc,76,85,96,102,106
1,48,lund_malmo,74,81,88,96,103
1,49,ckd_epi_2009,77,86,97,104,108
1,49,ckd_epi_2021,80,90,102,108,111
1,49,ekfc,76,84,95,101,104
1,49,lund_malmo,74,80,87,95,102
1,50,ckd_epi_2009,76,85,97,103,107
1,50,ckd_epi_2021,80,89,101,107,110
1,50,ekfc,74,83,94,100,103
1,50,lund_malmo,72,80,87,95,102
1,51,ckd_epi_2009,74,85,96,103,106
1,51,ckd_epi_2021,78,89,101,107,110
1,51,ekfc,73,82,93,99,102
1,51,lund_malmo,72,79,86,94,101
1,52,ckd_epi_2009,74,84,95,102,106
1,52,ckd_epi_2021,78,88,100,106,109
1,52,ekfc,72,82,92,98,101
1,52,lund_malmo,71,79,86,93,100
1,53,ckd_epi_2009,73,84,95,101,105
1,53,ckd_epi_2021,77,88,99,105,108
1,53,ekfc,72,80,91,97,100
1,53,lund_malmo,71,78,85,92,99
1,54,ckd_epi_2009,73,83,94,100,104
1,54,ckd_epi_2021,77,87,99,105,108
1,54,ekfc,71,80,90,96,99
1,54,lund_malmo,70,77,84,92,99
1,55,ckd_epi_2009,72,82,93,100,103
1,55,ckd_epi_2021,76,86,98,104,107
1,55,ekfc,70,78,89,95,98
1,55,lund_malmo,70,76,84,91,98
1,56,ckd_epi_2009,72,81,93,99,103
1,56,ckd_epi_2021,76,85,98,104,106
1,56,ekfc,69,78,88,94,97
1,56,lund_malmo,69,76,83,90,97
1,57,ckd_epi_2009,71,80,92,98,102
1,57,ckd_epi_2021,75,84,97,103,106
1,57,ekfc,69,76,87,93,96
1,57,lund_malmo,68,75,82,90,96
1,58,ckd_epi_2009,70,80,91,98,101
1,58,ckd_epi_2021,74,84,96,102,105
1,58,ekfc,67,76,86,92,95
1,58,lund_malmo,68,74,82,89,96
1,59,ckd_epi_2009,69,79,91,97,101
1,59,ckd_epi_2021,73,83,96,102,104
1,59,ekfc,66,75,86,91,94
1,59,lund_malmo,67,74,81,88,95
1,60,ckd_epi_2009,69,78,90,96,100
1,60,ckd_epi_2021,73,83,95,101,104
1,60,ekfc,66,74,85,90,93
1,60,lund_malmo,66,73,80,87,94
1,61,ckd_epi_2009,68,78,88,96,99
1,61,ckd_epi_2021,72,82,94,100,103
1,61,ekfc,65,73,83,89,93
1,61,lund_malmo,66,72,80,87,93
1,62,ckd_epi_2009,67,77,87,94,98
1,62,ckd_epi_2021,71,82,92,100,102
1,62,ekfc,64,73,82,88,92
1,62,lund_malmo,64,72,78,85,92
1,63,ckd_epi_2009,66,76,87,94,98
1,63,ckd_epi_2021,70,80,92,99,102
1,63,ekfc,63,71,81,87,90
1,63,lund_malmo,64,70,77,84,91
1,64,ckd_epi_2009,65,75,86,93,96
1,64,ckd_epi_2021,69,79,91,98,101
1,64,ekfc,61,70,80,86,90
1,64,lund_malmo,62,70,77,83,90
1,65,ckd_epi_2009,64,74,85,92,96
1,65,ckd_epi_2021,69,79,90,97,100
1,65,ekfc,61,69,79,85,88
1,65,lund_malmo,62,69,76,83,89
1,66,ckd_epi_2009,63,72,84,92,95
1,66,ckd_epi_2021,67,77,88,97,99
1,66,ekfc,59,68,77,84,87
1,66,lund_malmo,61,67,74,82,88
1,67,ckd_epi_2009,62,72,83,91,94
1,67,ckd_epi_2021,66,77,88,96,99
1,67,ekfc,58,67,76,84,87
1,67,lund_malmo,59,67,74,80,87
1,68,ckd_epi_2009,60,70,82,90,94
1,68,ckd_epi_2021,64,75,87,95,98
1,68,ekfc,57,65,75,82,86
1,68,lund_malmo,58,66,73,79,86
1,69,ckd_epi_2009,59,70,80,89,92
1,69,ckd_epi_2021,63,74,86,95,98
1,69,ekfc,55,65,74,81,84
1,69,lund_malmo,57,65,72,79,85
1,70,ckd_epi_2009,58,68,79,88,92
1,70,ckd_epi_2021,62,73,85,94,97
1,70,ekfc,54,63,73,80,84
1,70,lund_malmo,56,63,71,78,84
1,71,ckd_epi_2009,57,68,79,88,91
1,71,ckd_epi_2021,61,72,84,93,96
1,71,ekfc,53,62,72,80,83
1,71,lund_malmo,54,62,70,76,83
1,72,ckd_epi_2009,56,66,77,87,90
1,72,ckd_epi_2021,60,71,82,93,95
1,72,ekfc,52,61,70,79,82
1,72,lund_malmo,54,61,69,76,82
1,73,ckd_epi_2009,54,65,76,86,90
1,73,ckd_epi_2021,58,69,82,92,95
1,73,ekfc,51,59,69,78,81
1,73,lund_malmo,52,60,68,75,81
1,74,ckd_epi_2009,53,64,76,86,89
1,74,ckd_epi_2021,57,68,81,91,94
1,74,ekfc,49,58,68,77,80
1,74,lund_malmo,51,60,67,74,81
1,75,ckd_epi_2009,52,63,74,85,88
1,75,ckd_epi_2021,56,67,79,90,94
1,75,ekfc,48,57,67,76,79
1,75,lund_malmo,49,58,66,73,80
1,76,ckd_epi_2009,50,61,73,84,87
1,76,ckd_epi_2021,54,66,79,90,93
1,76,ekfc,46,56,66,75,78
1,76,lund_malmo,48,57,65,72,78
1,77,ckd_epi_2009,49,60,72,83,87
1,77,ckd_epi_2021,53,65,77,89,92
1,77,ekfc,45,55,64,74,77
1,77,lund_malmo,46,56,64,71,77
1,78,ckd_epi_2009,48,59,71,82,86
1,78,ckd_epi_2021,51,63,76,88,91
1,78,ekfc,44,53,64,73,77
1,78,lund_malmo,45,55,63,70,77
1,79,ckd_epi_2009,46,57,69,82,86
1,79,ckd_epi_2021,50,62,75,88,91
1,79,ekfc,42,52,62,73,76
1,79,lund_malmo,44,53,62,69,76
1,80,ckd_epi_2009,44,56,68,81,85
1,80,ckd_epi_2021,48,60,74,87,90
1,80,ekfc,41,51,62,72,75
1,80,lund_malmo,42,52,60,68,75
1,81,ckd_epi_2009,44,54,67,80,84
1,81,ckd_epi_2021,47,59,73,86,90
1,81,ekfc,40,49,60,70,74
1,81,lund_malmo,41,50,60,67,74
1,82,ckd_epi_2009,42,53,66,78,83
1,82,ckd_epi_2021,46,57,71,85,89
1,82,ekfc,38,48,58,69,73
1,82,lund_malmo,40,49,58,66,73
1,83,ckd_epi_2009,41,52,64,78,83
1,83,ckd_epi_2021,44,56,69,84,88
1,83,ekfc,38,47,57,68,72
1,83,lund_malmo,38,48,57,65,72
1,84,ckd_epi_2009,40,50,64,76,82
1,84,ckd_epi_2021,43,55,69,82,88
1,84,ekfc,36,46,56,67,72
1,84,lund_malmo,37,47,56,64,71
1,85,ckd_epi_2009,39,49,62,75,81
1,85,ckd_epi_2021,42,54,67,82,87
1,85,ekfc,35,44,55,66,71
1,85,lund_malmo,36,45,55,63,70
1,86,ckd_epi_2009,38,48,61,74,80
1,86,ckd_epi_2021,41,52,66,81,86
1,86,ekfc,34,43,54,65,70
1,86,lund_malmo,34,44,54,62,69
1,87,ckd_epi_2009,36,47,60,73,80
1,87,ckd_epi_2021,40,51,66,79,86
1,87,ekfc,33,42,52,63,69
1,87,lund_malmo,33,43,53,61,68
